id,Pop
4,41454761.0
8,2811655.0
12,46164219.0
16,47521.0
20,80856.0
24,36749906.0
28,93315.5
31,10318207.0
32,45538401.0
36,26451124.0
40,9130429.0
44,399440.5
48,1569665.5
50,171466990.0
51,2943393.0
52,282336.0
56,11712893.0
60,64697.99999999999
64,786385.0
68,12244159.5
70,3185073.0
72,2480244.5
76,211140729.0
84,411105.5
90,800005.5
92,38985.0
96,458948.5
100,6795803.0
104,54133797.5
108,13689449.5
112,9115680.0
116,17423880.5
120,28372687.0
124,39299104.5
132,522330.5
136,73038.0
140,5152420.5
144,22971617.0
148,19319064.0
152,19658835.0
156,1422584932.5
158,23317145.0
170,52321152.5
174,850387.0
175,316015.5
178,6182885.0
180,105789731.5
184,14222.0
188,5105525.5
191,3896023.5
192,11019930.5
196,1344975.5
203,10809716.0
204,14111034.5
208,5948136.5
212,66510.5
214,11331265.5
218,17980083.0
222,6309624.0
226,1847549.0
231,128691692.0
232,3470389.5
233,1367196.0
234,54713.5
238,3476.5
242,924145.5
246,5601185.5
250,66438822.0
254,303402.0
258,281118.5
262,1152943.5
266,2484788.5
268,3807492.0
270,2697845.5
275,5409201.5
276,84548231.0
288,33787914.0
292,38470.5
296,132530.5
300,10242908.5
304,55922.5
308,117081.0
312,376516.5
316,166506.5
320,18124837.5
324,14405468.0
328,826353.0
332,11637398.5
340,10644851.0
344,7442734.5
348,9686463.5
352,387557.5
356,1438069596.0
360,281190066.5
364,90608707.0
368,45074049.0
372,5196630.0
376,9256314.0
380,59499453.0
384,31165654.0
388,2839786.0
392,124370946.5
398,20330104.0
400,11439213.5
404,55339002.5
408,26418204.0
410,51748739.0
412,1700030.5
414,4838781.5
417,7073515.5
418,7664992.5
422,5773492.5
426,2311472.0
428,1882396.0
430,5493031.0
434,7305659.0
438,39598.0
440,2854099.0
442,665098.0
446,713911.5
450,31195932.5
454,21104482.5
458,35126298.0
462,525994.0
466,23769127.5
470,532956.0
474,346001.5
478,5022441.5
480,1273588.0
484,129739759.0
492,38956.5
496,3431932.5
498,3067070.0
499,633552.0
500,4420.5
504,37712505.0
508,33635160.0
512,5049269.0
516,2963095.0
520,11875.0
524,29694614.5
528,18092524.5
531,185427.0
533,107938.5
534,42749.0
535,29898.5
540,289869.5
548,320408.5
554,5172836.0
558,6823613.0
562,26159867.0
566,227882945.0
570,1817.5
578,5519167.0
580,45143.0
583,112630.5
584,38827.0
585,17727.5
586,247504495.5
591,4458759.0
598,10389635.0
600,6844146.0
604,33845617.0
608,114891199.0
616,38762843.5
620,10430738.0
624,2153339.0
626,1384286.0
630,3242022.5
634,2979082.0
638,874883.0
642,19118478.5
643,145440500.5
646,13954471.5
652,11085.0
654,5288.5
659,46758.0
660,14410.0
662,179284.5
663,27514.5
666,5681.5
670,101322.5
674,33732.5
678,230871.5
682,33264292.0
686,18077573.5
688,6773201.0
690,127950.5
694,8460512.0
702,5789089.5
703,5518054.5
704,100352191.5
705,2118396.0
706,18358615.0
710,63212383.5
716,16340821.5
724,47911579.5
728,11483374.0
729,50042790.5
732,579729.0
740,628886.0
748,1230506.0
752,10551494.0
756,8870561.0
760,23594623.0
762,10389798.5
764,71702435.0
768,9304337.5
772,2397.5
776,104597.5
780,1502932.5
784,10642081.0
788,12200431.0
792,87270501.5
795,7364438.0
796,46198.0
798,9815.5
800,48656601.5
804,37732835.5
807,1831801.5
818,114535771.5
826,68682962.5
831,64016.99999999999
832,103674.5
833,84165.5
834,66617606.49999999
840,343477335.0
850,85701.0
854,23025776.0
858,3388080.5
860,35652307.0
862,28300854.0
876,11370.5
882,216663.0
887,39390799.0
894,20723965.0
