id,year,method,TFR
12,1978,Interpolation,7.211026
12,1979,Interpolation,7.119014
12,1980,Interpolation,6.994467
12,1981,Interpolation,6.845083
12,1982,Interpolation,6.674667
12,1983,Interpolation,6.495783
12,1984,Interpolation,6.283061
12,1985,Interpolation,6.035171
12,1986,Interpolation,5.64531
12,1987,Interpolation,5.298009
12,1988,Interpolation,5.022682
12,1989,Interpolation,4.761401
12,1990,Interpolation,4.509212
12,1991,Interpolation,4.366072
12,1992,Interpolation,4.273921
12,1993,Interpolation,4.076337
12,1994,Interpolation,3.914443
12,1995,Interpolation,3.486934
12,1996,Interpolation,3.138907
12,1997,Interpolation,2.886096
12,1998,Interpolation,2.691143
12,1999,Interpolation,2.619815
12,2000,Interpolation,2.589793
12,2001,Interpolation,2.51922
12,2002,Interpolation,2.428643
12,2003,Interpolation,2.450507
12,2004,Interpolation,2.500126
12,2005,Interpolation,2.561873
12,2006,Interpolation,2.627663
12,2007,Interpolation,2.704152
12,2008,Interpolation,2.784803
12,2009,Interpolation,2.824761
12,2010,Interpolation,2.874721
12,2011,Interpolation,2.899101
12,2012,Interpolation,2.995667
12,2013,Interpolation,2.996752
12,2014,Interpolation,3.083714
12,2015,Interpolation,3.091392
12,2016,Interpolation,3.090569
12,2017,Interpolation,3.089636
12,2018,Interpolation,3.019033
12,2019,Interpolation,2.997314
12,2020,Projection,2.940412
12,2021,Projection,2.869799
12,2022,Projection,2.817352
12,2023,Projection,2.766178
16,1950,Interpolation,6.219108
16,1951,Interpolation,6.166487
16,1952,Interpolation,6.11249
16,1953,Interpolation,6.086535
16,1954,Interpolation,6.094094
16,1955,Interpolation,6.142884
16,1956,Interpolation,6.197044
16,1957,Interpolation,6.300701
16,1958,Interpolation,6.424888
16,1959,Interpolation,6.537251
16,1960,Interpolation,6.577794
16,1961,Interpolation,6.575468
16,1962,Interpolation,6.603184
16,1963,Interpolation,6.686688
16,1964,Interpolation,6.779771
16,1965,Interpolation,6.729916
16,1966,Interpolation,6.617961
16,1967,Interpolation,6.460781
16,1968,Interpolation,6.280875
16,1969,Interpolation,6.122292
16,1970,Interpolation,5.953028
16,1971,Interpolation,5.765046
16,1972,Interpolation,5.518642
16,1973,Interpolation,5.297449
16,1974,Interpolation,5.139336
16,1975,Interpolation,5.013097
16,1976,Interpolation,4.932122
16,1977,Interpolation,4.952964
16,1978,Interpolation,4.872717
16,1979,Interpolation,4.756432
16,1980,Interpolation,4.627346
16,1981,Interpolation,4.498292
16,1982,Interpolation,4.370078
16,1983,Interpolation,4.266731
16,1984,Interpolation,4.249865
16,1985,Interpolation,4.255469
16,1986,Interpolation,4.275996
16,1987,Interpolation,4.297823
16,1988,Interpolation,4.314154
16,1989,Interpolation,4.40955
16,1990,Interpolation,4.472074
16,1991,Interpolation,4.528139
16,1992,Interpolation,4.557366
16,1993,Interpolation,4.605153
16,1994,Interpolation,4.38408
16,1995,Interpolation,4.121373
16,1996,Interpolation,3.944416
16,1997,Interpolation,3.886987
16,1998,Interpolation,3.878285
16,1999,Interpolation,3.891358
16,2000,Interpolation,3.8901
16,2001,Interpolation,3.870484
16,2002,Interpolation,3.866256
16,2003,Interpolation,3.909631
16,2004,Interpolation,3.945034
16,2005,Interpolation,3.863051
16,2006,Interpolation,3.684955
16,2007,Interpolation,3.508743
16,2008,Interpolation,3.419951
16,2009,Interpolation,3.358567
16,2010,Interpolation,3.292382
