id,model,n,rmse,smape,rmsse,crps,coverage_90,mpiw_90,mis_90,coverage_80,mpiw_80,mis_80
4,NeuralTFR,13,0.2051996602697815,3.1536545888903857,1.1745658546734925,0.13165772066906178,100.0,1.7280699289762056,1.7280699289762056,100.0,1.2788991928100586,1.2788991928100586
4,BayesTFR,13,0.219512735181067,2.9352840742397657,1.2564941046719431,0.13561021036954587,100.0,1.9287794474914977,1.9287794474914977,100.0,1.5194832666384266,1.5194832666384266
4,NaiveDrift,13,0.24640859289049274,3.3311828478050987,1.4104463873224835,,0.0,,,0.0,,
8,NeuralTFR,14,0.17690908138339978,10.398891764366114,0.669599095810408,0.09000915587374145,85.71428571428571,0.6031882166862488,0.604618217263903,78.57142857142857,0.47099276951381136,0.5790793214525497
8,BayesTFR,14,0.2032348672402862,11.60805492844195,0.7692419308103057,0.09626481533033422,92.85714285714286,0.5163651392722128,0.5487263954144997,57.14285714285714,0.403828137872985,0.5472001934652777
8,NaiveDrift,14,0.9575109581923223,98.7542404424479,3.624169357618395,,0.0,,,0.0,,
12,NeuralTFR,12,0.5195279910912411,17.2022727345155,1.922205052768856,0.30557513535022734,41.66666666666667,0.8766703605651855,2.9659649531046557,25.0,0.6513364513715109,2.493045767148336
12,BayesTFR,12,0.5429487189901295,18.933034448806417,2.00885955893359,0.3280349495749972,25.0,0.7589437766451576,2.9412592336285215,8.333333333333332,0.5856744610474965,2.5873398636143903
12,NaiveDrift,12,0.8543920938354835,31.17256135478802,3.1611709628324913,,0.0,,,0.0,,
24,NeuralTFR,6,0.21627755992337955,3.3084461070966746,1.766189497050419,0.1328464272107779,100.0,1.4247694810231526,1.4247694810231526,100.0,0.9922002156575521,0.9922002156575521
24,BayesTFR,6,0.2839328529226616,4.053964311671663,2.318683560500798,0.14593943993571762,100.0,1.2129927482969352,1.2129927482969352,100.0,0.97745601214734,0.97745601214734
24,NaiveDrift,6,0.12254199086705603,1.8501187794873235,1.000715826892619,,0.0,,,0.0,,
28,NeuralTFR,12,0.14543981609792234,7.855645782154792,0.6834807613717312,0.07622151593367259,100.0,0.6426392197608948,0.6426392197608948,91.66666666666666,0.4908439715703328,0.5246907174587251
28,BayesTFR,12,0.3354496176188533,17.936071444098822,1.5764139848583403,0.20623094858710866,33.33333333333333,0.4196583251045108,2.1270775696748463,0.0,0.3150757178464726,1.7192286812305893
28,NaiveDrift,12,0.39895760165694094,20.849234075141784,1.8748637935016006,,0.0,,,0.0,,
31,NeuralTFR,14,0.17422599144376957,7.811345901609026,0.5486731624882647,0.09225142902561599,85.71428571428571,0.673090432371412,0.7485969151769366,71.42857142857143,0.515611605984824,0.7343026655060904
31,BayesTFR,14,0.19034813549403548,9.401370660664604,0.5994450805519693,0.09478014803001747,85.71428571428571,0.5863495686570186,0.6289384160913648,71.42857142857143,0.45355219764815,0.5605380291842406
31,NaiveDrift,14,0.1872172132467176,8.652509803504024,0.5895851681663068,,0.0,,,0.0,,
32,NeuralTFR,14,0.24783591409351965,9.761021660143816,4.118847029561213,0.11135824133242882,100.0,0.794068089553288,0.794068089553288,78.57142857142857,0.6224258116313389,0.7321501289095197
32,BayesTFR,14,0.2928446708790714,11.322334180200217,4.866858813359662,0.14209200983203477,78.57142857142857,0.727647765983142,1.3528934011375806,71.42857142857143,0.5597781514603314,1.0873470740239564
32,NaiveDrift,14,0.2235224268220671,9.898267254146454,3.714775104825929,,0.0,,,0.0,,
36,NeuralTFR,15,0.06645825535138197,3.0354461710984904,0.8334591571675307,0.04680158144235611,100.0,0.6938628435134888,0.6938628435134888,100.0,0.537206761042277,0.537206761042277
36,BayesTFR,15,0.29869716211364267,14.036537966643218,3.745988871770662,0.1717330385436892,33.33333333333333,0.421402104012164,1.8551356951194624,20.0,0.32675116503459734,1.3868045652064458
36,NaiveDrift,15,0.4812308354283711,21.433335585721704,6.035160633972563,,0.0,,,0.0,,
40,NeuralTFR,15,0.10322787354773698,6.423956984986029,1.5341020102533507,0.05869751912355424,100.0,0.5839705228805542,0.5839705228805542,100.0,0.46381412347157797,0.46381412347157797
40,BayesTFR,15,0.11361978394415864,5.591559386902814,1.6885394706176853,0.05076149189879391,100.0,0.438682022538224,0.438682022538224,93.33333333333333,0.34036551276940596,0.3591581664713534
40,NaiveDrift,15,0.0654553204249125,3.8956061939797815,0.9727521762733903,,0.0,,,0.0,,
44,NeuralTFR,9,0.21884565815449605,11.372460958372777,1.1916737777097834,0.10187002119090821,100.0,0.6610878441068861,0.6610878441068861,88.88888888888889,0.4723476833767361,0.491556273566352
44,BayesTFR,9,0.2956593160203286,14.872928645261924,1.6099449128129628,0.15402308795124123,66.66666666666666,0.5313663604520956,1.011766836077601,55.55555555555556,0.4083203344494489,1.0407215354059212
44,NaiveDrift,9,0.15308529009349833,8.306321493362322,0.8335907940596688,,0.0,,,0.0,,
48,NeuralTFR,12,0.24014895989861468,10.852639037486238,0.4925036544927384,0.12282564903299015,66.66666666666666,0.6733631491661072,0.9008999069531759,66.66666666666666,0.519176165262858,0.8579882383346558
48,BayesTFR,12,0.1270319926256835,5.311226553368429,0.2605204729267062,0.06568262655553364,83.33333333333334,0.5220334139069375,0.5606992780289248,75.0,0.3974132340125575,0.4985859637761483
48,NaiveDrift,12,0.35306835797470615,17.77719792252085,0.7240816560758971,,0.0,,,0.0,,
50,NeuralTFR,12,0.09244190542962431,3.461293151602558,0.2353460471480187,0.06408085333804289,100.0,0.8491342961788177,0.8491342961788177,100.0,0.6501571039358774,0.6501571039358774
50,BayesTFR,12,0.07954796437509885,2.897563576711121,0.20251961366810406,0.06182918561682046,100.0,0.9179953609934092,0.9179953609934092,100.0,0.70486875257946,0.70486875257946
50,NaiveDrift,12,0.3699652549763831,14.135617237047265,0.9418873392553185,,0.0,,,0.0,,
51,NeuralTFR,13,0.21687295231492063,13.507024412461606,0.8113025879647745,0.10726865401634805,84.61538461538461,0.5678078761467567,0.6049832013937143,84.61538461538461,0.4477651577729445,0.5471838712692261
51,BayesTFR,13,0.0748970720233279,3.665742535307501,0.2801833410524818,0.040117338944172125,92.3076923076923,0.4055353329507038,0.4258905651784027,84.61538461538461,0.3143924953570292,0.3543155381115524
51,NaiveDrift,13,0.10146319493867363,5.660403489930964,0.37956486393650196,,0.0,,,0.0,,
52,NeuralTFR,4,0.14547012482192614,6.893730847749829,0.600704176963467,0.07446615494787713,100.0,0.5100158154964447,0.5100158154964447,50.0,0.3603160083293915,0.5514320433139823
52,BayesTFR,4,0.08839773102824898,4.45358163336817,0.3650294954222693,0.04491136186342844,100.0,0.35682202999363,0.35682202999363,100.0,0.27581760545111,0.27581760545111
52,NaiveDrift,4,0.0860894578759432,4.260148755858376,0.35549771475005176,,0.0,,,0.0,,
56,NeuralTFR,15,0.05565241005449807,2.9319899201387307,1.0487751410454067,0.043534325977166506,100.0,0.6495225350062053,0.6495225350062053,100.0,0.49498533407847084,0.49498533407847084
